Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Acanthastrea_echinata,Acanthastrea_rotundoflora,Acropora_abrotanoides,Acropora_aculeus,Acropora_acuminata,Acropora_anthocercis,Acropora_austera,Acropora_chesterfieldensis,Acropora_divaricata,Acropora_elseyi,Acropora_grandis,Acropora_horrida,Acropora_hyacinthus,Acropora_lutkeni,Acropora_microphthalma,Acropora_muricata,Acropora_nana,Acropora_nasuta,Acropora_robusta,Acropora_selago,Acropora_tenuis,Acropora_valida,Acropora_verweyi,Alveopora_allingi,Alveopora_marionensis,Alveopora_tizardi,Astrea_annuligera,Astrea_curta,Astreopora_cucullata,Astreopora_expansa,Astreopora_gracilis,Astreopora_incrustans,Astreopora_listeri,Astreopora_myriophthalma,Bernardpora_stutchburyi,Caulastraea_echinulata,Cladopsammia_gracilis,Coelastrea_incrustans,Coscinaraea_columna,Coscinaraea_exesa,Ctenactis_crassa,Ctenactis_echinata,Cycloseris_costulata,Cycloseris_explanulata,Cycloseris_mokai,Cycloseris_vaughani,Cyphastrea_chalcidicum,Cyphastrea_microphthalma,Cyphastrea_serailia,Danafungia_horrida,Danafungia_scruposa,Diploastrea_heliopora,Dipsastraea_amicorum,Dipsastraea_danai,Dipsastraea_favus,Dipsastraea_laxa,Dipsastraea_lizardensis,Dipsastraea_maritima,Dipsastraea_matthaii,Dipsastraea_maxima,Dipsastraea_mirabilis,Dipsastraea_pallida,Dipsastraea_rotumana,Dipsastraea_speciosa,Dipsastraea_veroni,Duncanopsammia_peltata,Echinophyllia_aspera,Echinophyllia_echinoporoides,Echinophyllia_glabra,Echinopora_gemmacea,Echinopora_hirsutissima,Echinopora_horrida,Echinopora_lamellosa,Echinopora_pacifica,Euphyllia_glabrescens,Favites_abdita,Favites_chinensis,Favites_complanata,Favites_flexuosa,Favites_halicora,Favites_magnistellata,Favites_paraflexuosus,Favites_pentagona,Favites_rotundata,Favites_valenciennesi,Fimbriaphyllia_ancora,Fimbriaphyllia_divisa,Fimbriaphyllia_paradivisa,Fungia_fungites,Galaxea_astreata,Galaxea_fascicularis,Goniastrea_edwardsi,Goniastrea_favulus,Goniastrea_pectinata,Goniastrea_retiformis,Goniastrea_stelligera,Goniopora_columna,Goniopora_djiboutiensis,Goniopora_fruticosa,Goniopora_lobata,Goniopora_pandoraensis,Goniopora_pedunculata,Goniopora_pendulus,Goniopora_somaliensis,Goniopora_stokesi,Goniopora_tenuidens,Heliofungia_actiniformis,Heliopora_coerulea,Herpolitha_limax,Homophyllia_bowerbanki,Hydnophora_exesa,Hydnophora_grandis,Hydnophora_rigida,Isopora_brueggemanni,Leptastrea_purpurea,Leptastrea_transversa,Leptoria_phrygia,Leptoseris_explanata,Leptoseris_scabra,Lithophyllon_concinna,Lithophyllon_repanda,Lithophyllon_scabra,Lithophyllon_undulatum,Lobactis_scutaria,Lobophyllia_agaricia,Lobophyllia_corymbosa,Lobophyllia_flabelliformis,Lobophyllia_hataii,Lobophyllia_hemprichii,Lobophyllia_radians,Lobophyllia_recta,Lobophyllia_robusta,Lobophyllia_valenciennesii,Madracis_kirbyi,Merulina_ampliata,Merulina_scabricula,Micromussa_amakusensis,Millepora_exaesa,Montipora_aequituberculata,Montipora_angulata,Montipora_capricornis,Montipora_corbettensis,Montipora_crassituberculata,Montipora_danae,Montipora_digitata,Montipora_efflorescens,Montipora_foliosa,Montipora_grisea,Montipora_hispida,Montipora_hoffmeisteri,Montipora_informis,Montipora_millepora,Montipora_mollis,Montipora_monasteriata,Montipora_samarensis,Montipora_spongodes,Montipora_spumosa,Montipora_stellata,Montipora_tuberculosa,Montipora_turgescens,Montipora_undata,Montipora_venosa,Montipora_verrucosa,Mycedium_elephantotus,Oulastrea_crispata,Oulophyllia_bennettae,Oulophyllia_crispa,Oxypora_crassispinosa,Oxypora_echinata,Oxypora_lacera,Pachyseris_rugosa,Pachyseris_speciosa,Paragoniastrea_australensis,Paragoniastrea_russelli,Pavona_cactus,Pavona_clavus,Pavona_decussata,Pavona_explanulata,Pavona_frondifera,Pavona_varians,Pectinia_alcicornis,Pectinia_crassa,Pectinia_lactuca,Pectinia_paeonia,Physogyra_lichtensteini,Platygyra_daedalea,Platygyra_lamellina,Platygyra_pini,Platygyra_sinensis,Platygyra_verweyi,Plerogyra_sinuosa,Plesiastrea_versipora,Pleuractis_moluccensis,Pleuractis_paumotensis,Pocillopora_acuta,Podabacia_crustacea,Podabacia_motuporensis,Polyphyllia_talpina,Porites_australiensis,Porites_cylindrica,Porites_deformis,Porites_lichen,Porites_lobata,Porites_lutea,Porites_monticulosa,Porites_murrayensis,Porites_nigrescens,Porites_rus,Porites_solida,Porites_stephensoni,Porites_vaughani,Psammocora_contigua,Psammocora_haimiana,Psammocora_nierstraszi,Pseudosiderastrea_tayamai,Scapophyllia_cylindrica,Stylocoeniella_armata,Trachyphyllia_geoffroyi,Tubastraea_diaphana,Tubastraea_micranthus,Turbinaria_frondens,Turbinaria_irregularis,Turbinaria_mesenterina,Turbinaria_radicalis,Turbinaria_reniformis,Turbinaria_stellulata,Unknown
CY-N-D0-1989-3-1-T1,SGRET1001-1,Cyrene Reef,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,21,0,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,53,0,0,0,0,0,16,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D0-1989-3-1-T3,SGRET1001-3,Cyrene Reef,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
CY-N-D0-1989-3-1-T4,SGRET1001-4,Cyrene Reef,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D0-1989-3-1-T5,SGRET1001-5,Cyrene Reef,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T1,SGRET1002-1,Cyrene Reef,CY-N,29,4,1986,29/4/1986,1.258333333,103.7586111,Slope,Patch,3,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T2,SGRET1002-2,Cyrene Reef,CY-N,29,4,1986,29/4/1986,1.258333333,103.7586111,Slope,Patch,3,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T3,SGRET1002-3,Cyrene Reef,CY-N,29,4,1986,29/4/1986,1.258333333,103.7586111,Slope,Patch,3,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T4,SGRET1002-4,Cyrene Reef,CY-N,29,4,1986,29/4/1986,1.258333333,103.7586111,Slope,Patch,3,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,230,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T5,SGRET1002-5,Cyrene Reef,CY-N,29,4,1986,29/4/1986,1.258333333,103.7586111,Slope,Patch,3,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,50,0,40,0,0,30,100,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D10-1987-5-25-T2,SGRET1004-2,Cyrene Reef,CY-N,25,5,1987,25/5/1987,1.258333333,103.7586111,Slope,Patch,10,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D10-1987-5-25-T3,SGRET1004-3,Cyrene Reef,CY-N,25,5,1987,25/5/1987,1.258333333,103.7586111,Slope,Patch,10,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,6
CY-N-D10-1987-5-25-T5,SGRET1004-5,Cyrene Reef,CY-N,25,5,1987,25/5/1987,1.258333333,103.7586111,Slope,Patch,10,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,19
CY-S-D0-1989-3-1-T1,SGRET1005-1,Cyrene Reef,CY-S,1,3,1989,1/3/1989,1.257222222,103.7533333,Crest,Patch,0,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1989-3-1-T2,SGRET1005-2,Cyrene Reef,CY-S,1,3,1989,1/3/1989,1.257222222,103.7533333,Crest,Patch,0,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,7,8,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1989-3-1-T3,SGRET1005-3,Cyrene Reef,CY-S,1,3,1989,1/3/1989,1.257222222,103.7533333,Crest,Patch,0,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,57,0,0,0,0,0,0,11,0,0,0,0,20,0,17,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,16,0,63,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1989-3-1-T4,SGRET1005-4,Cyrene Reef,CY-S,1,3,1989,1/3/1989,1.257222222,103.7533333,Crest,Patch,0,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1989-3-1-T5,SGRET1005-5,Cyrene Reef,CY-S,1,3,1989,1/3/1989,1.257222222,103.7533333,Crest,Patch,0,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,75,0,15,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1986-5-2-T1,SGRET1006-1,Cyrene Reef,CY-S,2,5,1986,2/5/1986,1.257222222,103.7533333,Slope,Patch,3,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,50,0,0,0,0,101,0,0,0,0,0,25,0,0,38,0,0,135,0,0,0,0,0,170,0,0,0,0,0,35,0,60,0,0,0,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,55,0,55,0,0,15,20,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1986-5-2-T2,SGRET1006-2,Cyrene Reef,CY-S,2,5,1986,2/5/1986,1.257222222,103.7533333,Slope,Patch,3,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,195,0,0,75,0,0,0,0,0,0,0,0,0,90,0,0,0,0,30,0,0,99,0,0,0,0,0,0,40,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1986-5-2-T3,SGRET1006-3,Cyrene Reef,CY-S,2,5,1986,2/5/1986,1.257222222,103.7533333,Slope,Patch,3,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,9,74,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,40,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,20,0,0,0,47,0,14,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1986-5-2-T4,SGRET1006-4,Cyrene Reef,CY-S,2,5,1986,2/5/1986,1.257222222,103.7533333,Slope,Patch,3,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,80,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,180,0,0,22,10,40,24,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
